상권명,다중지역정보,업종정보,점포수,위도,경도,wkt,price_202106_max,pop_202106_max,strc_202106_max,price_202106_min,pop_202106_min,strc_202106_min,price_202106_mean,pop_202106_mean,strc_202106_mean
라페스타라페스타,"{""type"":""Polygon"",""coordinates"":[[[126.769278785,37.660963439],[126.769287214,37.660955021],[126.769287223,37.660955015],[126.769287228,37.660955007],[126.769348981,37.660893354],[126.769632019,37.660604809],[126.769799778,37.660425742],[126.76998824,37.660199267],[126.770098218,37.660064751],[126.770335618,37.659732318],[126.770552861,37.659379908],[126.769651175,37.659046979],[126.769647042,37.659045454],[126.768368582,37.6585734],[126.768367648,37.658573055],[126.768340577,37.658563058],[126.767671782,37.658316101],[126.767403775,37.658712779],[126.767395317,37.658724259],[126.767153123,37.659026803],[126.767140936,37.659040562],[126.766789571,37.659400333],[126.766789364,37.659400544],[126.766785909,37.659404071],[126.766777199,37.659412989],[126.76590689,37.660304096],[126.765906418,37.660304577],[126.76532365,37.660897102],[126.765882787,37.661243852],[126.76588758,37.661246826],[126.76589398,37.661250792],[126.76592241,37.661268422],[126.767031084,37.661955955],[126.767039004,37.661960866],[126.767046696,37.661965632],[126.767528613,37.662264485],[126.767828562,37.662450479],[126.768547801,37.661716534],[126.769227999,37.661014191],[126.769230268,37.661011886],[126.769278785,37.660963439]]]}",전자상거래 소매업/한식 일반 음식점업/커피 전문점/기타 주점업/화장품  비누 및 방향제 소매업/부동산 중개 및 대리업/피부 미용업/두발 미용업/기타 미용업/한식 육류 요리 전문점,703,37.6603651676199,126.767848818732,"POLYGON ((126.7692787850 37.6609634390, 126.7692872140 37.6609550210, 126.7692872230 37.6609550150, 126.7692872280 37.6609550070, 126.7693489810 37.6608933540, 126.7696320190 37.6606048090, 126.7697997780 37.6604257420, 126.7699882400 37.6601992670, 126.7700982180 37.6600647510, 126.7703356180 37.6597323180, 126.7705528610 37.6593799080, 126.7696511750 37.6590469790, 126.7696470420 37.6590454540, 126.7683685820 37.6585734000, 126.7683676480 37.6585730550, 126.7683405770 37.6585630580, 126.7676717820 37.6583161010, 126.7674037750 37.6587127790, 126.7673953170 37.6587242590, 126.7671531230 37.6590268030, 126.7671409360 37.6590405620, 126.7667895710 37.6594003330, 126.7667893640 37.6594005440, 126.7667859090 37.6594040710, 126.7667771990 37.6594129890, 126.7659068900 37.6603040960, 126.7659064180 37.6603045770, 126.7653236500 37.6608971020, 126.7658827870 37.6612438520, 126.7658875800 37.6612468260, 126.7658939800 37.6612507920, 126.7659224100 37.6612684220, 126.7670310840 37.6619559550, 126.7670390040 37.6619608660, 126.7670466960 37.6619656320, 126.7675286130 37.6622644850, 126.7678285620 37.6624504790, 126.7685478010 37.6617165340, 126.7692279990 37.6610141910, 126.7692302680 37.6610118860, 126.7692787850 37.6609634390))",69686784.88,4584.0,37.0,37501179.12,2735.0,20.0,53593982.0,3659.5,28.5
애니골길,"{""type"":""Polygon"",""coordinates"":[[[126.789577188,37.668808271],[126.789501713,37.668744427],[126.789074706,37.66849296],[126.788420221,37.669602513],[126.789043572,37.669865994],[126.789633556,37.670115316],[126.789512753,37.670356225],[126.789380606,37.670619542],[126.789244425,37.670891265],[126.78910093,37.67117699],[126.78897243,37.671433587],[126.787730472,37.670946684],[126.787725022,37.670962782],[126.787680591,37.671305182],[126.787678052,37.671324744],[126.787677221,37.671330305],[126.787673169,37.671354217],[126.787604354,37.671760377],[126.787600405,37.67177743],[126.787536105,37.671995579],[126.787521093,37.672030198],[126.787369734,37.672289977],[126.786988875,37.672949725],[126.786983952,37.672957726],[126.786983531,37.672958369],[126.786985752,37.672959213],[126.786994623,37.672962775],[126.787849345,37.673324921],[126.787899253,37.673346066],[126.788225612,37.6730973],[126.788356896,37.672996721],[126.78890774,37.673105425],[126.790270374,37.672566399],[126.7910799,37.671773354],[126.791373403,37.672088897],[126.791818904,37.672293368],[126.792346688,37.672885551],[126.792482779,37.672815988],[126.793028772,37.672852543],[126.792982619,37.672530523],[126.792830868,37.672363974],[126.7926896,37.671484043],[126.792438158,37.670998868],[126.791979815,37.669772182],[126.791967632,37.669583971],[126.79178123,37.669632746],[126.790823464,37.670132576],[126.790183075,37.66958372],[126.789845182,37.669035708],[126.789577188,37.668808271]]]}",한식 육류 요리 전문점/한식 일반 음식점업/한식 해산물 요리 전문점/노래 연습장 운영업/중식 음식점업/골프 연습장 운영업/커피 전문점/육류 소매업/운동 및 경기용품 소매업/체인화 편의점/기타 음ㆍ식료품 위주 종합 소매업/가전제품 소매업/남자용 겉옷 소매업/한식 면 요리 전문점/서양식 음식점업/기타 외국식 음식점업/기타 주점업/기타 비알코올 음료점업/부동산 중개 및 대리업/당구장 운영업,50,37.6709231370276,126.790820375407,"POLYGON ((126.7895771880 37.6688082710, 126.7895017130 37.6687444270, 126.7890747060 37.6684929600, 126.7884202210 37.6696025130, 126.7890435720 37.6698659940, 126.7896335560 37.6701153160, 126.7895127530 37.6703562250, 126.7893806060 37.6706195420, 126.7892444250 37.6708912650, 126.7891009300 37.6711769900, 126.7889724300 37.6714335870, 126.7877304720 37.6709466840, 126.7877250220 37.6709627820, 126.7876805910 37.6713051820, 126.7876780520 37.6713247440, 126.7876772210 37.6713303050, 126.7876731690 37.6713542170, 126.7876043540 37.6717603770, 126.7876004050 37.6717774300, 126.7875361050 37.6719955790, 126.7875210930 37.6720301980, 126.7873697340 37.6722899770, 126.7869888750 37.6729497250, 126.7869839520 37.6729577260, 126.7869835310 37.6729583690, 126.7869857520 37.6729592130, 126.7869946230 37.6729627750, 126.7878493450 37.6733249210, 126.7878992530 37.6733460660, 126.7882256120 37.6730973000, 126.7883568960 37.6729967210, 126.7889077400 37.6731054250, 126.7902703740 37.6725663990, 126.7910799000 37.6717733540, 126.7913734030 37.6720888970, 126.7918189040 37.6722933680, 126.7923466880 37.6728855510, 126.7924827790 37.6728159880, 126.7930287720 37.6728525430, 126.7929826190 37.6725305230, 126.7928308680 37.6723639740, 126.7926896000 37.6714840430, 126.7924381580 37.6709988680, 126.7919798150 37.6697721820, 126.7919676320 37.6695839710, 126.7917812300 37.6696327460, 126.7908234640 37.6701325760, 126.7901830750 37.6695837200, 126.7898451820 37.6690357080, 126.7895771880 37.6688082710))",33424495.810000002,1910.0,161.0,17080439.01,925.0,99.0,25252467.410000004,1417.5,130.0
지행역,"{""type"":""Polygon"",""coordinates"":[[[127.056580675,37.88959004],[127.056529562,37.888789787],[127.056051227,37.888805673],[127.055020267,37.888839904],[127.055037508,37.889061364],[127.055102834,37.889793404],[127.055103147,37.889797616],[127.055181921,37.891119493],[127.055191955,37.891287887],[127.055262191,37.892278218],[127.055586147,37.892297393],[127.056360658,37.892337512],[127.056720105,37.892356129],[127.056885907,37.892351326],[127.05675515,37.891686149],[127.056754033,37.891679703],[127.056693822,37.891278669],[127.056692654,37.891268392],[127.056665105,37.890911832],[127.05666497,37.890909929],[127.056587315,37.889694084],[127.05658467,37.889652589],[127.056580675,37.88959004]]]}",한식 일반 음식점업/한식 육류 요리 전문점/김밥 및 기타 간이 음식점업/중식 음식점업/두발 미용업/당구장 운영업/커피 전문점/체인화 편의점/일식 음식점업/제과점업/자전거 및 기타 운송장비 소매업/한식 면 요리 전문점/피자  햄버거  샌드위치 및 유사 음식점업/치킨 전문점/생맥주 전문점/기타 주점업/부동산 중개 및 대리업/태권도 및 무술 교육기관/체력 단련시설 운영업/노래 연습장 운영업/기타 미용업/가전제품 소매업/여자용 겉옷 소매업/기타 의복 소매업/가구 소매업,50,37.8903537753566,127.05588286844,"POLYGON ((127.0565806750 37.8895900400, 127.0565295620 37.8887897870, 127.0560512270 37.8888056730, 127.0550202670 37.8888399040, 127.0550375080 37.8890613640, 127.0551028340 37.8897934040, 127.0551031470 37.8897976160, 127.0551819210 37.8911194930, 127.0551919550 37.8912878870, 127.0552621910 37.8922782180, 127.0555861470 37.8922973930, 127.0563606580 37.8923375120, 127.0567201050 37.8923561290, 127.0568859070 37.8923513260, 127.0567551500 37.8916861490, 127.0567540330 37.8916797030, 127.0566938220 37.8912786690, 127.0566926540 37.8912683920, 127.0566651050 37.8909118320, 127.0566649700 37.8909099290, 127.0565873150 37.8896940840, 127.0565846700 37.8896525890, 127.0565806750 37.8895900400))",14404061.950000001,679.0,71.0,1294035.8,81.0,15.0,7849048.875000001,380.0,43.0
영통역,"{""type"":""Polygon"",""coordinates"":[[[127.073408367,37.252097305],[127.07235795,37.250976322],[127.072356818,37.250977002],[127.072047864,37.251162411],[127.071676681,37.251389694],[127.071560822,37.251461536],[127.071677906,37.251591966],[127.07215451,37.252086781],[127.072412213,37.252336978],[127.072630983,37.252541279],[127.07263783,37.252547994],[127.072653235,37.252563864],[127.073252465,37.252175745],[127.073276261,37.252162272],[127.073408367,37.252097305]]]}",기타 의복 소매업/김밥 및 기타 간이 음식점업/셔츠 및 블라우스 소매업/커피 전문점/육류 소매업/시계 및 귀금속 소매업/신발 소매업/피자  햄버거  샌드위치 및 유사 음식점업/화장품  비누 및 방향제 소매업/한식 일반 음식점업/통신기기 소매업/남자용 겉옷 소매업,60,37.2518389923235,127.072541079433,"POLYGON ((127.0734083670 37.2520973050, 127.0723579500 37.2509763220, 127.0723568180 37.2509770020, 127.0720478640 37.2511624110, 127.0716766810 37.2513896940, 127.0715608220 37.2514615360, 127.0716779060 37.2515919660, 127.0721545100 37.2520867810, 127.0724122130 37.2523369780, 127.0726309830 37.2525412790, 127.0726378300 37.2525479940, 127.0726532350 37.2525638640, 127.0732524650 37.2521757450, 127.0732762610 37.2521622720, 127.0734083670 37.2520973050))",26520309.869999997,225.0,6.0,7368903.559999999,0.0,1.0,16944606.714999996,112.5,3.5
혜음로,"{""type"":""Polygon"",""coordinates"":[[[126.8479959,37.780887941],[126.848780098,37.77911218],[126.849149952,37.778273916],[126.848017396,37.777990872],[126.847922007,37.779910761],[126.847852254,37.780153913],[126.84753423,37.780576529],[126.84743729,37.780719742],[126.847145742,37.781150499],[126.846689095,37.78092698],[126.846407775,37.780927045],[126.846071589,37.781033566],[126.844464733,37.782070376],[126.844578446,37.78213089],[126.844658338,37.782170885],[126.844968158,37.782310746],[126.845132895,37.782376405],[126.845146966,37.782382517],[126.845448467,37.782524677],[126.845455339,37.78252805],[126.84564193,37.782623317],[126.845651629,37.782628555],[126.845726223,37.782671119],[126.845948621,37.78277127],[126.845984802,37.782787564],[126.846382855,37.782869715],[126.846447957,37.782892263],[126.84646324,37.782903022],[126.847139488,37.782010893],[126.847546587,37.781518195],[126.848765803,37.781111135],[126.8479959,37.780887941]]]}",두발 미용업/한식 일반 음식점업/커피 전문점/한식 육류 요리 전문점/한식 해산물 요리 전문점/기타 주점업/체인화 편의점/치킨 전문점/기타 외국식 음식점업/의약품 및 의료용품 소매업/일반의원,74,37.780365565299,126.847959841408,"POLYGON ((126.8479959000 37.7808879410, 126.8487800980 37.7791121800, 126.8491499520 37.7782739160, 126.8480173960 37.7779908720, 126.8479220070 37.7799107610, 126.8478522540 37.7801539130, 126.8475342300 37.7805765290, 126.8474372900 37.7807197420, 126.8471457420 37.7811504990, 126.8466890950 37.7809269800, 126.8464077750 37.7809270450, 126.8460715890 37.7810335660, 126.8444647330 37.7820703760, 126.8445784460 37.7821308900, 126.8446583380 37.7821708850, 126.8449681580 37.7823107460, 126.8451328950 37.7823764050, 126.8451469660 37.7823825170, 126.8454484670 37.7825246770, 126.8454553390 37.7825280500, 126.8456419300 37.7826233170, 126.8456516290 37.7826285550, 126.8457262230 37.7826711190, 126.8459486210 37.7827712700, 126.8459848020 37.7827875640, 126.8463828550 37.7828697150, 126.8464479570 37.7828922630, 126.8464632400 37.7829030220, 126.8471394880 37.7820108930, 126.8475465870 37.7815181950, 126.8487658030 37.7811111350, 126.8479959000 37.7808879410))",9541850.040000001,1056.0,226.0,3517359.27,363.0,85.0,6529604.655,709.5,155.5
검배로_1,"{""type"":""Polygon"",""coordinates"":[[[127.14743869,37.594610842],[127.147009839,37.594047971],[127.146688882,37.594202776],[127.146709708,37.594238405],[127.14641554,37.594433385],[127.146655355,37.594660379],[127.146332839,37.594889507],[127.1462511,37.594857944],[127.146021385,37.594986373],[127.145834017,37.594814947],[127.145406349,37.595110328],[127.145303315,37.595177162],[127.145095053,37.595317008],[127.144861398,37.595480323],[127.144752238,37.595556685],[127.143887988,37.595192263],[127.143826306,37.595387231],[127.143700938,37.595550201],[127.143581859,37.595441776],[127.143259216,37.595650058],[127.143335884,37.595722698],[127.14283324,37.596043432],[127.14333148,37.596509394],[127.143134625,37.596641435],[127.143321559,37.59681962],[127.143162855,37.596926596],[127.143393237,37.597142828],[127.142944221,37.597438802],[127.142994624,37.597453361],[127.143026162,37.597464709],[127.143494784,37.597668989],[127.143809567,37.597452268],[127.143813636,37.597449533],[127.144103929,37.597258983],[127.144118911,37.597249149],[127.145082641,37.596616562],[127.14508964,37.596611968],[127.145096931,37.59660718],[127.145849775,37.596113003],[127.146163549,37.595906684],[127.146177848,37.595897282],[127.146761605,37.595513429],[127.147171216,37.595241556],[127.147226579,37.595204802],[127.147248597,37.595190197],[127.147270547,37.595177338],[127.147285705,37.59516953],[127.147294307,37.5951651],[127.147376187,37.595122936],[127.147438843,37.595090682],[127.147581921,37.595017005],[127.14773161,37.59493993],[127.147745393,37.594933373],[127.148093362,37.594780882],[127.148108023,37.594774998],[127.148347326,37.594687462],[127.148327191,37.594648783],[127.147957641,37.594782403],[127.147692368,37.594491029],[127.14743869,37.594610842]]]}",한식 일반 음식점업/한식 육류 요리 전문점/두발 미용업/기타 주점업/부동산 중개 및 대리업/노래 연습장 운영업/김밥 및 기타 간이 음식점업/생맥주 전문점/한식 면 요리 전문점/의약품 및 의료용품 소매업/철물 및 난방용구 소매업/치과의원/한의원,223,37.5958100009769,127.144754796479,"POLYGON ((127.1474386900 37.5946108420, 127.1470098390 37.5940479710, 127.1466888820 37.5942027760, 127.1467097080 37.5942384050, 127.1464155400 37.5944333850, 127.1466553550 37.5946603790, 127.1463328390 37.5948895070, 127.1462511000 37.5948579440, 127.1460213850 37.5949863730, 127.1458340170 37.5948149470, 127.1454063490 37.5951103280, 127.1453033150 37.5951771620, 127.1450950530 37.5953170080, 127.1448613980 37.5954803230, 127.1447522380 37.5955566850, 127.1438879880 37.5951922630, 127.1438263060 37.5953872310, 127.1437009380 37.5955502010, 127.1435818590 37.5954417760, 127.1432592160 37.5956500580, 127.1433358840 37.5957226980, 127.1428332400 37.5960434320, 127.1433314800 37.5965093940, 127.1431346250 37.5966414350, 127.1433215590 37.5968196200, 127.1431628550 37.5969265960, 127.1433932370 37.5971428280, 127.1429442210 37.5974388020, 127.1429946240 37.5974533610, 127.1430261620 37.5974647090, 127.1434947840 37.5976689890, 127.1438095670 37.5974522680, 127.1438136360 37.5974495330, 127.1441039290 37.5972589830, 127.1441189110 37.5972491490, 127.1450826410 37.5966165620, 127.1450896400 37.5966119680, 127.1450969310 37.5966071800, 127.1458497750 37.5961130030, 127.1461635490 37.5959066840, 127.1461778480 37.5958972820, 127.1467616050 37.5955134290, 127.1471712160 37.5952415560, 127.1472265790 37.5952048020, 127.1472485970 37.5951901970, 127.1472705470 37.5951773380, 127.1472857050 37.5951695300, 127.1472943070 37.5951651000, 127.1473761870 37.5951229360, 127.1474388430 37.5950906820, 127.1475819210 37.5950170050, 127.1477316100 37.5949399300, 127.1477453930 37.5949333730, 127.1480933620 37.5947808820, 127.1481080230 37.5947749980, 127.1483473260 37.5946874620, 127.1483271910 37.5946487830, 127.1479576410 37.5947824030, 127.1476923680 37.5944910290, 127.1474386900 37.5946108420))",52652815.47,4797.0,448.0,18273477.12,970.0,129.0,35463146.295,2883.5,288.5
호국로,"{""type"":""Polygon"",""coordinates"":[[[127.137954422,37.813204475],[127.136591719,37.812090767],[127.136101722,37.811225021],[127.135199983,37.810669921],[127.134984583,37.809845039],[127.134961342,37.809402808],[127.135034006,37.809197233],[127.134883843,37.808500098],[127.132434528,37.808183089],[127.133784026,37.810356568],[127.133954721,37.810631504],[127.134003135,37.810710135],[127.134038663,37.810767836],[127.134297108,37.811187578],[127.134409587,37.811372549],[127.134085075,37.811596548],[127.133577372,37.811947032],[127.133521912,37.811985481],[127.133412688,37.81203874],[127.133347365,37.812070922],[127.132945062,37.812269568],[127.132703736,37.812359585],[127.1323405,37.812494883],[127.132227168,37.812535158],[127.133081557,37.813194112],[127.133258926,37.813688158],[127.133514025,37.81421262],[127.135156015,37.815603221],[127.135245714,37.81570299],[127.135667296,37.815831095],[127.135527736,37.813368049],[127.136098083,37.813734322],[127.13746959,37.813206],[127.137954422,37.813204475]]]}",기타 의복 소매업/여자용 겉옷 소매업/운동 및 경기용품 소매업/가죽 및 모피 의복 소매업/가구 소매업/남자용 겉옷 소매업/커피 전문점/셔츠 및 블라우스 소매업/한식 일반 음식점업/자동차 전문 수리업/자동차 세차업/부동산 중개 및 대리업,79,37.8120103567898,127.135006252256,"POLYGON ((127.1379544220 37.8132044750, 127.1365917190 37.8120907670, 127.1361017220 37.8112250210, 127.1351999830 37.8106699210, 127.1349845830 37.8098450390, 127.1349613420 37.8094028080, 127.1350340060 37.8091972330, 127.1348838430 37.8085000980, 127.1324345280 37.8081830890, 127.1337840260 37.8103565680, 127.1339547210 37.8106315040, 127.1340031350 37.8107101350, 127.1340386630 37.8107678360, 127.1342971080 37.8111875780, 127.1344095870 37.8113725490, 127.1340850750 37.8115965480, 127.1335773720 37.8119470320, 127.1335219120 37.8119854810, 127.1334126880 37.8120387400, 127.1333473650 37.8120709220, 127.1329450620 37.8122695680, 127.1327037360 37.8123595850, 127.1323405000 37.8124948830, 127.1322271680 37.8125351580, 127.1330815570 37.8131941120, 127.1332589260 37.8136881580, 127.1335140250 37.8142126200, 127.1351560150 37.8156032210, 127.1352457140 37.8157029900, 127.1356672960 37.8158310950, 127.1355277360 37.8133680490, 127.1360980830 37.8137343220, 127.1374695900 37.8132060000, 127.1379544220 37.8132044750))",12352143.54,1601.0,167.0,6882513.41,239.0,99.0,9617328.475,920.0,133.0
경춘로_2,"{""type"":""Polygon"",""coordinates"":[[[127.136360293,37.597881276],[127.136372703,37.597833829],[127.136372788,37.59783352],[127.136462092,37.597492121],[127.135925504,37.597476425],[127.135887819,37.597475405],[127.135874368,37.597475042],[127.134387059,37.597434857],[127.134386394,37.597434838],[127.134317222,37.597432807],[127.134288955,37.598292357],[127.135876164,37.597954814],[127.135887023,37.598332207],[127.135876834,37.598632294],[127.135613245,37.598626988],[127.135620659,37.598965498],[127.135319894,37.598961609],[127.135232184,37.599232408],[127.13495522,37.599251218],[127.134983939,37.599460922],[127.135112431,37.599458483],[127.134958471,37.599765965],[127.134541911,37.599706601],[127.134565761,37.599480387],[127.134369594,37.599489651],[127.134038965,37.599497366],[127.133721429,37.599505176],[127.133103695,37.599520921],[127.132356855,37.599592031],[127.131964286,37.599600412],[127.131703147,37.599688599],[127.131086773,37.599617617],[127.13096791,37.599491723],[127.130713915,37.599491961],[127.13071759,37.599503726],[127.130790167,37.600169768],[127.130790642,37.600172609],[127.130865997,37.600623369],[127.131723496,37.600578045],[127.131723745,37.600578032],[127.131735306,37.600577432],[127.132328701,37.600546587],[127.132331214,37.600546467],[127.133148417,37.600511238],[127.133153316,37.600511027],[127.134414611,37.600456653],[127.134416055,37.600456591],[127.134441435,37.600455497],[127.134441912,37.600455477],[127.134573199,37.60045004],[127.134792786,37.600440949],[127.13485441,37.600438398],[127.135690901,37.600403761],[127.135700909,37.600351942],[127.135703327,37.600341486],[127.135812885,37.599935463],[127.135823186,37.599897285],[127.135824271,37.599893269],[127.135943573,37.599451111],[127.135989644,37.599277635],[127.135997544,37.599247889],[127.136033269,37.599113382],[127.136035127,37.599106357],[127.136035187,37.599106129],[127.13603792,37.599095861],[127.13605386,37.599035827],[127.136055114,37.599031103],[127.136159459,37.598638196],[127.136168043,37.598605874],[127.13616995,37.598598713],[127.136240768,37.598332038],[127.136247462,37.598306828],[127.136248986,37.59830109],[127.136348437,37.597926605],[127.136360293,37.597881276]]]}",한식 일반 음식점업/기타 주점업/한식 육류 요리 전문점/일식 음식점업/두발 미용업/체인화 편의점/노래 연습장 운영업/의료용 기구 소매업/커피 전문점/여관업,275,37.5989984754736,127.135685853577,"POLYGON ((127.1363602930 37.5978812760, 127.1363727030 37.5978338290, 127.1363727880 37.5978335200, 127.1364620920 37.5974921210, 127.1359255040 37.5974764250, 127.1358878190 37.5974754050, 127.1358743680 37.5974750420, 127.1343870590 37.5974348570, 127.1343863940 37.5974348380, 127.1343172220 37.5974328070, 127.1342889550 37.5982923570, 127.1358761640 37.5979548140, 127.1358870230 37.5983322070, 127.1358768340 37.5986322940, 127.1356132450 37.5986269880, 127.1356206590 37.5989654980, 127.1353198940 37.5989616090, 127.1352321840 37.5992324080, 127.1349552200 37.5992512180, 127.1349839390 37.5994609220, 127.1351124310 37.5994584830, 127.1349584710 37.5997659650, 127.1345419110 37.5997066010, 127.1345657610 37.5994803870, 127.1343695940 37.5994896510, 127.1340389650 37.5994973660, 127.1337214290 37.5995051760, 127.1331036950 37.5995209210, 127.1323568550 37.5995920310, 127.1319642860 37.5996004120, 127.1317031470 37.5996885990, 127.1310867730 37.5996176170, 127.1309679100 37.5994917230, 127.1307139150 37.5994919610, 127.1307175900 37.5995037260, 127.1307901670 37.6001697680, 127.1307906420 37.6001726090, 127.1308659970 37.6006233690, 127.1317234960 37.6005780450, 127.1317237450 37.6005780320, 127.1317353060 37.6005774320, 127.1323287010 37.6005465870, 127.1323312140 37.6005464670, 127.1331484170 37.6005112380, 127.1331533160 37.6005110270, 127.1344146110 37.6004566530, 127.1344160550 37.6004565910, 127.1344414350 37.6004554970, 127.1344419120 37.6004554770, 127.1345731990 37.6004500400, 127.1347927860 37.6004409490, 127.1348544100 37.6004383980, 127.1356909010 37.6004037610, 127.1357009090 37.6003519420, 127.1357033270 37.6003414860, 127.1358128850 37.5999354630, 127.1358231860 37.5998972850, 127.1358242710 37.5998932690, 127.1359435730 37.5994511110, 127.1359896440 37.5992776350, 127.1359975440 37.5992478890, 127.1360332690 37.5991133820, 127.1360351270 37.5991063570, 127.1360351870 37.5991061290, 127.1360379200 37.5990958610, 127.1360538600 37.5990358270, 127.1360551140 37.5990311030, 127.1361594590 37.5986381960, 127.1361680430 37.5986058740, 127.1361699500 37.5985987130, 127.1362407680 37.5983320380, 127.1362474620 37.5983068280, 127.1362489860 37.5983010900, 127.1363484370 37.5979266050, 127.1363602930 37.5978812760))",54471321.16,2965.0,385.0,24748062.87,1874.0,201.0,39609692.015,2419.5,293.0
거북마루로_1,"{""type"":""Polygon"",""coordinates"":[[[127.047748488,37.894585525],[127.046924755,37.894403174],[127.046443632,37.894296231],[127.046032151,37.895562881],[127.046144506,37.895591769],[127.046673307,37.895727729],[127.047135266,37.895823719],[127.047200665,37.8958288],[127.047205608,37.895829184],[127.047207831,37.895829356],[127.047437048,37.895847147],[127.048069646,37.895848841],[127.048496388,37.89580834],[127.048524184,37.895807062],[127.048738937,37.895807627],[127.048731963,37.895525998],[127.048723704,37.895201009],[127.048713383,37.894787593],[127.04871127,37.894703108],[127.048706582,37.894514987],[127.047748488,37.894585525]]]}",두발 미용업/기타 주점업/한식 일반 음식점업/한식 해산물 요리 전문점/당구장 운영업/기타 미용업/치킨 전문점/한식 면 요리 전문점/한식 육류 요리 전문점/일식 음식점업/피자  햄버거  샌드위치 및 유사 음식점업/기타 음ㆍ식료품 위주 종합 소매업/통신기기 소매업/조리 반찬류 소매업/여자용 겉옷 소매업/서적  신문 및 잡지류 소매업/자전거 및 기타 운송장비 소매업/화장품  비누 및 방향제 소매업/화초 및 식물 소매업/전자상거래 소매업/생맥주 전문점/커피 전문점/기타 비알코올 음료점업/부동산 중개 및 대리업/일반 교과학원/태권도 및 무술 교육기관/피부 미용업/가정용 세탁업,45,37.8949948124543,127.047467537833,"POLYGON ((127.0477484880 37.8945855250, 127.0469247550 37.8944031740, 127.0464436320 37.8942962310, 127.0460321510 37.8955628810, 127.0461445060 37.8955917690, 127.0466733070 37.8957277290, 127.0471352660 37.8958237190, 127.0472006650 37.8958288000, 127.0472056080 37.8958291840, 127.0472078310 37.8958293560, 127.0474370480 37.8958471470, 127.0480696460 37.8958488410, 127.0484963880 37.8958083400, 127.0485241840 37.8958070620, 127.0487389370 37.8958076270, 127.0487319630 37.8955259980, 127.0487237040 37.8952010090, 127.0487133830 37.8947875930, 127.0487112700 37.8947031080, 127.0487065820 37.8945149870, 127.0477484880 37.8945855250))",7886002.180000001,1683.0,113.0,1531721.69,481.0,49.0,4708861.9350000005,1082.0,81.0
금촌역,"{""type"":""Polygon"",""coordinates"":[[[126.77004056,37.764179025],[126.77449151,37.766165993],[126.774168898,37.766565837],[126.774136173,37.766606505],[126.775224665,37.767061066],[126.775228681,37.767062743],[126.775267246,37.767078847],[126.775403248,37.767135691],[126.775486201,37.767170347],[126.775783544,37.767294563],[126.775788178,37.767245447],[126.778028677,37.768003552],[126.778351386,37.768050255],[126.778982049,37.767703143],[126.779229195,37.767768987],[126.77925539,37.767731248],[126.774147885,37.765461207],[126.77000692,37.763620484],[126.770008967,37.763636194],[126.770009042,37.763636783],[126.770031702,37.763816451],[126.770032099,37.763819941],[126.770043984,37.763937136],[126.770048454,37.763981355],[126.770049156,37.763998454],[126.770048517,37.764032517],[126.770048326,37.764037685],[126.77004056,37.764179025]]]}",두발 미용업/자동차 세차업/한식 일반 음식점업/자동차 전문 수리업/기타 음ㆍ식료품 위주 종합 소매업/가전제품 소매업/한식 육류 요리 전문점/한식 해산물 요리 전문점/기타 주점업/커피 전문점/가전제품 수리업,49,37.7658136033774,126.774321400953,"POLYGON ((126.7700405600 37.7641790250, 126.7744915100 37.7661659930, 126.7741688980 37.7665658370, 126.7741361730 37.7666065050, 126.7752246650 37.7670610660, 126.7752286810 37.7670627430, 126.7752672460 37.7670788470, 126.7754032480 37.7671356910, 126.7754862010 37.7671703470, 126.7757835440 37.7672945630, 126.7757881780 37.7672454470, 126.7780286770 37.7680035520, 126.7783513860 37.7680502550, 126.7789820490 37.7677031430, 126.7792291950 37.7677689870, 126.7792553900 37.7677312480, 126.7741478850 37.7654612070, 126.7700069200 37.7636204840, 126.7700089670 37.7636361940, 126.7700090420 37.7636367830, 126.7700317020 37.7638164510, 126.7700320990 37.7638199410, 126.7700439840 37.7639371360, 126.7700484540 37.7639813550, 126.7700491560 37.7639984540, 126.7700485170 37.7640325170, 126.7700483260 37.7640376850, 126.7700405600 37.7641790250))",15442813.52,750.0,164.0,3585851.49,161.0,13.0,9514332.504999999,455.5,88.5
