상권명,다중지역정보,업종정보,점포수,위도,경도,구분,시군구코드,시군구명,"WGS84좌표, X좌표값","WGS84좌표, Y좌표값",조사일시,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
라페스타라페스타,"{""type"":""Polygon"",""coordinates"":[[[126.769278785,37.660963439],[126.769287214,37.660955021],[126.769287223,37.660955015],[126.769287228,37.660955007],[126.769348981,37.660893354],[126.769632019,37.660604809],[126.769799778,37.660425742],[126.76998824,37.660199267],[126.770098218,37.660064751],[126.770335618,37.659732318],[126.770552861,37.659379908],[126.769651175,37.659046979],[126.769647042,37.659045454],[126.768368582,37.6585734],[126.768367648,37.658573055],[126.768340577,37.658563058],[126.767671782,37.658316101],[126.767403775,37.658712779],[126.767395317,37.658724259],[126.767153123,37.659026803],[126.767140936,37.659040562],[126.766789571,37.659400333],[126.766789364,37.659400544],[126.766785909,37.659404071],[126.766777199,37.659412989],[126.76590689,37.660304096],[126.765906418,37.660304577],[126.76532365,37.660897102],[126.765882787,37.661243852],[126.76588758,37.661246826],[126.76589398,37.661250792],[126.76592241,37.661268422],[126.767031084,37.661955955],[126.767039004,37.661960866],[126.767046696,37.661965632],[126.767528613,37.662264485],[126.767828562,37.662450479],[126.768547801,37.661716534],[126.769227999,37.661014191],[126.769230268,37.661011886],[126.769278785,37.660963439]]]}",전자상거래 소매업/한식 일반 음식점업/커피 전문점/기타 주점업/화장품  비누 및 방향제 소매업/부동산 중개 및 대리업/피부 미용업/두발 미용업/기타 미용업/한식 육류 요리 전문점,"703",37.6603651676199,126.767848818732,발달상권,"41285",고양시일산동구,126.76941,37.660824,"201509",44.40202125,28.86711042,18.60711334,11.76711529,8.926777118,11.30338661,11.3613527,18.31728292,35.88100673,112.2223409,162.4789368,202.3016373,197.8962148,236.849424,265.3107719,261.0792477,273.0202612,290.4680528,274.4694133,228.2704434,195.0558766,170.7101209,120.9752198,71.70404737
라페스타라페스타,"{""type"":""Polygon"",""coordinates"":[[[126.769278785,37.660963439],[126.769287214,37.660955021],[126.769287223,37.660955015],[126.769287228,37.660955007],[126.769348981,37.660893354],[126.769632019,37.660604809],[126.769799778,37.660425742],[126.76998824,37.660199267],[126.770098218,37.660064751],[126.770335618,37.659732318],[126.770552861,37.659379908],[126.769651175,37.659046979],[126.769647042,37.659045454],[126.768368582,37.6585734],[126.768367648,37.658573055],[126.768340577,37.658563058],[126.767671782,37.658316101],[126.767403775,37.658712779],[126.767395317,37.658724259],[126.767153123,37.659026803],[126.767140936,37.659040562],[126.766789571,37.659400333],[126.766789364,37.659400544],[126.766785909,37.659404071],[126.766777199,37.659412989],[126.76590689,37.660304096],[126.765906418,37.660304577],[126.76532365,37.660897102],[126.765882787,37.661243852],[126.76588758,37.661246826],[126.76589398,37.661250792],[126.76592241,37.661268422],[126.767031084,37.661955955],[126.767039004,37.661960866],[126.767046696,37.661965632],[126.767528613,37.662264485],[126.767828562,37.662450479],[126.768547801,37.661716534],[126.769227999,37.661014191],[126.769230268,37.661011886],[126.769278785,37.660963439]]]}",전자상거래 소매업/한식 일반 음식점업/커피 전문점/기타 주점업/화장품  비누 및 방향제 소매업/부동산 중개 및 대리업/피부 미용업/두발 미용업/기타 미용업/한식 육류 요리 전문점,"703",37.6603651676199,126.767848818732,발달상권,"41285",고양시일산동구,126.77035,37.659447,"201509",8.016502489,5.135287876,3.317486858,2.045026145,1.281549718,1.227015687,1.390617779,2.354052318,4.244565377,9.6434344,15.37859661,21.14102584,23.63141323,28.52129797,28.31225086,31.02986338,32.78404136,35.91065911,41.19137107,37.35581092,33.28393664,29.51199953,23.62232423,15.7058008
라페스타라페스타,"{""type"":""Polygon"",""coordinates"":[[[126.769278785,37.660963439],[126.769287214,37.660955021],[126.769287223,37.660955015],[126.769287228,37.660955007],[126.769348981,37.660893354],[126.769632019,37.660604809],[126.769799778,37.660425742],[126.76998824,37.660199267],[126.770098218,37.660064751],[126.770335618,37.659732318],[126.770552861,37.659379908],[126.769651175,37.659046979],[126.769647042,37.659045454],[126.768368582,37.6585734],[126.768367648,37.658573055],[126.768340577,37.658563058],[126.767671782,37.658316101],[126.767403775,37.658712779],[126.767395317,37.658724259],[126.767153123,37.659026803],[126.767140936,37.659040562],[126.766789571,37.659400333],[126.766789364,37.659400544],[126.766785909,37.659404071],[126.766777199,37.659412989],[126.76590689,37.660304096],[126.765906418,37.660304577],[126.76532365,37.660897102],[126.765882787,37.661243852],[126.76588758,37.661246826],[126.76589398,37.661250792],[126.76592241,37.661268422],[126.767031084,37.661955955],[126.767039004,37.661960866],[126.767046696,37.661965632],[126.767528613,37.662264485],[126.767828562,37.662450479],[126.768547801,37.661716534],[126.769227999,37.661014191],[126.769230268,37.661011886],[126.769278785,37.660963439]]]}",전자상거래 소매업/한식 일반 음식점업/커피 전문점/기타 주점업/화장품  비누 및 방향제 소매업/부동산 중개 및 대리업/피부 미용업/두발 미용업/기타 미용업/한식 육류 요리 전문점,"703",37.6603651676199,126.767848818732,발달상권,"41285",고양시일산동구,126.77011,37.65988,"201509",88.39866803,55.80208452,34.50202055,24.29432216,16.46842006,17.4891899,21.02785868,30.48699252,68.73183581,177.3417466,267.1014411,351.5531324,367.3410393,441.8572375,444.5112391,464.1780713,495.1414231,521.273131,510.6571246,431.1051285,369.3145276,311.0625955,246.5499417,148.8962938
라페스타라페스타,"{""type"":""Polygon"",""coordinates"":[[[126.769278785,37.660963439],[126.769287214,37.660955021],[126.769287223,37.660955015],[126.769287228,37.660955007],[126.769348981,37.660893354],[126.769632019,37.660604809],[126.769799778,37.660425742],[126.76998824,37.660199267],[126.770098218,37.660064751],[126.770335618,37.659732318],[126.770552861,37.659379908],[126.769651175,37.659046979],[126.769647042,37.659045454],[126.768368582,37.6585734],[126.768367648,37.658573055],[126.768340577,37.658563058],[126.767671782,37.658316101],[126.767403775,37.658712779],[126.767395317,37.658724259],[126.767153123,37.659026803],[126.767140936,37.659040562],[126.766789571,37.659400333],[126.766789364,37.659400544],[126.766785909,37.659404071],[126.766777199,37.659412989],[126.76590689,37.660304096],[126.765906418,37.660304577],[126.76532365,37.660897102],[126.765882787,37.661243852],[126.76588758,37.661246826],[126.76589398,37.661250792],[126.76592241,37.661268422],[126.767031084,37.661955955],[126.767039004,37.661960866],[126.767046696,37.661965632],[126.767528613,37.662264485],[126.767828562,37.662450479],[126.768547801,37.661716534],[126.769227999,37.661014191],[126.769230268,37.661011886],[126.769278785,37.660963439]]]}",전자상거래 소매업/한식 일반 음식점업/커피 전문점/기타 주점업/화장품  비누 및 방향제 소매업/부동산 중개 및 대리업/피부 미용업/두발 미용업/기타 미용업/한식 육류 요리 전문점,"703",37.6603651676199,126.767848818732,발달상권,"41285",고양시일산동구,126.76688,37.66168,"201509",575.6493151,402.0684931,310.9150685,214.3917808,153.309589,121.2246575,108.3369863,122.5671233,182.709589,323.8027397,454.9616438,561.2849315,614.3123288,674.1863014,732.0465753,777.6904109,838.2356164,914.4876712,1016.783562,999.6,988.4575342,992.3506849,921.8712329,751.109589
라페스타라페스타,"{""type"":""Polygon"",""coordinates"":[[[126.769278785,37.660963439],[126.769287214,37.660955021],[126.769287223,37.660955015],[126.769287228,37.660955007],[126.769348981,37.660893354],[126.769632019,37.660604809],[126.769799778,37.660425742],[126.76998824,37.660199267],[126.770098218,37.660064751],[126.770335618,37.659732318],[126.770552861,37.659379908],[126.769651175,37.659046979],[126.769647042,37.659045454],[126.768368582,37.6585734],[126.768367648,37.658573055],[126.768340577,37.658563058],[126.767671782,37.658316101],[126.767403775,37.658712779],[126.767395317,37.658724259],[126.767153123,37.659026803],[126.767140936,37.659040562],[126.766789571,37.659400333],[126.766789364,37.659400544],[126.766785909,37.659404071],[126.766777199,37.659412989],[126.76590689,37.660304096],[126.765906418,37.660304577],[126.76532365,37.660897102],[126.765882787,37.661243852],[126.76588758,37.661246826],[126.76589398,37.661250792],[126.76592241,37.661268422],[126.767031084,37.661955955],[126.767039004,37.661960866],[126.767046696,37.661965632],[126.767528613,37.662264485],[126.767828562,37.662450479],[126.768547801,37.661716534],[126.769227999,37.661014191],[126.769230268,37.661011886],[126.769278785,37.660963439]]]}",전자상거래 소매업/한식 일반 음식점업/커피 전문점/기타 주점업/화장품  비누 및 방향제 소매업/부동산 중개 및 대리업/피부 미용업/두발 미용업/기타 미용업/한식 육류 요리 전문점,"703",37.6603651676199,126.767848818732,발달상권,"41285",고양시일산동구,126.7671,37.659267,"201509",0.02172244,0.015368135,0.011780452,0.009941988,0.006961176,0.007871484,0.008906736,0.012958497,0.020116015,0.0397858,0.061775977,0.076305202,0.075983917,0.084230233,0.087121799,0.09095937,0.091798281,0.091459147,0.08408744,0.068041036,0.056510472,0.049263709,0.04235608,0.033592138
라페스타라페스타,"{""type"":""Polygon"",""coordinates"":[[[126.769278785,37.660963439],[126.769287214,37.660955021],[126.769287223,37.660955015],[126.769287228,37.660955007],[126.769348981,37.660893354],[126.769632019,37.660604809],[126.769799778,37.660425742],[126.76998824,37.660199267],[126.770098218,37.660064751],[126.770335618,37.659732318],[126.770552861,37.659379908],[126.769651175,37.659046979],[126.769647042,37.659045454],[126.768368582,37.6585734],[126.768367648,37.658573055],[126.768340577,37.658563058],[126.767671782,37.658316101],[126.767403775,37.658712779],[126.767395317,37.658724259],[126.767153123,37.659026803],[126.767140936,37.659040562],[126.766789571,37.659400333],[126.766789364,37.659400544],[126.766785909,37.659404071],[126.766777199,37.659412989],[126.76590689,37.660304096],[126.765906418,37.660304577],[126.76532365,37.660897102],[126.765882787,37.661243852],[126.76588758,37.661246826],[126.76589398,37.661250792],[126.76592241,37.661268422],[126.767031084,37.661955955],[126.767039004,37.661960866],[126.767046696,37.661965632],[126.767528613,37.662264485],[126.767828562,37.662450479],[126.768547801,37.661716534],[126.769227999,37.661014191],[126.769230268,37.661011886],[126.769278785,37.660963439]]]}",전자상거래 소매업/한식 일반 음식점업/커피 전문점/기타 주점업/화장품  비누 및 방향제 소매업/부동산 중개 및 대리업/피부 미용업/두발 미용업/기타 미용업/한식 육류 요리 전문점,"703",37.6603651676199,126.767848818732,발달상권,"41285",고양시일산동구,126.7663,37.66131,"201509",0.01092274,0.00738023,0.005819838,0.004934211,0.003162956,0.002488192,0.003120783,0.006368084,0.009024966,0.019104251,0.028508772,0.034961201,0.028297909,0.029563091,0.030575237,0.032810392,0.031587382,0.032810392,0.030533064,0.028087045,0.024924089,0.023490216,0.01969467,0.015814778
애니골길,"{""type"":""Polygon"",""coordinates"":[[[126.789577188,37.668808271],[126.789501713,37.668744427],[126.789074706,37.66849296],[126.788420221,37.669602513],[126.789043572,37.669865994],[126.789633556,37.670115316],[126.789512753,37.670356225],[126.789380606,37.670619542],[126.789244425,37.670891265],[126.78910093,37.67117699],[126.78897243,37.671433587],[126.787730472,37.670946684],[126.787725022,37.670962782],[126.787680591,37.671305182],[126.787678052,37.671324744],[126.787677221,37.671330305],[126.787673169,37.671354217],[126.787604354,37.671760377],[126.787600405,37.67177743],[126.787536105,37.671995579],[126.787521093,37.672030198],[126.787369734,37.672289977],[126.786988875,37.672949725],[126.786983952,37.672957726],[126.786983531,37.672958369],[126.786985752,37.672959213],[126.786994623,37.672962775],[126.787849345,37.673324921],[126.787899253,37.673346066],[126.788225612,37.6730973],[126.788356896,37.672996721],[126.78890774,37.673105425],[126.790270374,37.672566399],[126.7910799,37.671773354],[126.791373403,37.672088897],[126.791818904,37.672293368],[126.792346688,37.672885551],[126.792482779,37.672815988],[126.793028772,37.672852543],[126.792982619,37.672530523],[126.792830868,37.672363974],[126.7926896,37.671484043],[126.792438158,37.670998868],[126.791979815,37.669772182],[126.791967632,37.669583971],[126.79178123,37.669632746],[126.790823464,37.670132576],[126.790183075,37.66958372],[126.789845182,37.669035708],[126.789577188,37.668808271]]]}",한식 육류 요리 전문점/한식 일반 음식점업/한식 해산물 요리 전문점/노래 연습장 운영업/중식 음식점업/골프 연습장 운영업/커피 전문점/육류 소매업/운동 및 경기용품 소매업/체인화 편의점/기타 음ㆍ식료품 위주 종합 소매업/가전제품 소매업/남자용 겉옷 소매업/한식 면 요리 전문점/서양식 음식점업/기타 외국식 음식점업/기타 주점업/기타 비알코올 음료점업/부동산 중개 및 대리업/당구장 운영업,"50",37.6709231370276,126.790820375407,발달상권,"41285",고양시일산동구,126.788666,37.67176,"201509",2.614725421,1.578443167,0.844123955,0.5696121,0.542160914,1.070596235,1.76373867,2.628451014,5.531413882,9.889289584,13.34813896,14.47363757,15.83247125,17.87758457,17.36287484,15.80502006,16.05208073,18.16582202,19.64132324,16.70404639,13.4579437,12.23636595,8.201041674,5.167685674
지행역,"{""type"":""Polygon"",""coordinates"":[[[127.056580675,37.88959004],[127.056529562,37.888789787],[127.056051227,37.888805673],[127.055020267,37.888839904],[127.055037508,37.889061364],[127.055102834,37.889793404],[127.055103147,37.889797616],[127.055181921,37.891119493],[127.055191955,37.891287887],[127.055262191,37.892278218],[127.055586147,37.892297393],[127.056360658,37.892337512],[127.056720105,37.892356129],[127.056885907,37.892351326],[127.05675515,37.891686149],[127.056754033,37.891679703],[127.056693822,37.891278669],[127.056692654,37.891268392],[127.056665105,37.890911832],[127.05666497,37.890909929],[127.056587315,37.889694084],[127.05658467,37.889652589],[127.056580675,37.88959004]]]}",한식 일반 음식점업/한식 육류 요리 전문점/김밥 및 기타 간이 음식점업/중식 음식점업/두발 미용업/당구장 운영업/커피 전문점/체인화 편의점/일식 음식점업/제과점업/자전거 및 기타 운송장비 소매업/한식 면 요리 전문점/피자  햄버거  샌드위치 및 유사 음식점업/치킨 전문점/생맥주 전문점/기타 주점업/부동산 중개 및 대리업/태권도 및 무술 교육기관/체력 단련시설 운영업/노래 연습장 운영업/기타 미용업/가전제품 소매업/여자용 겉옷 소매업/기타 의복 소매업/가구 소매업,"50",37.8903537753566,127.05588286844,발달상권,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영통역,"{""type"":""Polygon"",""coordinates"":[[[127.073408367,37.252097305],[127.07235795,37.250976322],[127.072356818,37.250977002],[127.072047864,37.251162411],[127.071676681,37.251389694],[127.071560822,37.251461536],[127.071677906,37.251591966],[127.07215451,37.252086781],[127.072412213,37.252336978],[127.072630983,37.252541279],[127.07263783,37.252547994],[127.072653235,37.252563864],[127.073252465,37.252175745],[127.073276261,37.252162272],[127.073408367,37.252097305]]]}",기타 의복 소매업/김밥 및 기타 간이 음식점업/셔츠 및 블라우스 소매업/커피 전문점/육류 소매업/시계 및 귀금속 소매업/신발 소매업/피자  햄버거  샌드위치 및 유사 음식점업/화장품  비누 및 방향제 소매업/한식 일반 음식점업/통신기기 소매업/남자용 겉옷 소매업,"60",37.2518389923235,127.072541079433,발달상권,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
혜음로,"{""type"":""Polygon"",""coordinates"":[[[126.8479959,37.780887941],[126.848780098,37.77911218],[126.849149952,37.778273916],[126.848017396,37.777990872],[126.847922007,37.779910761],[126.847852254,37.780153913],[126.84753423,37.780576529],[126.84743729,37.780719742],[126.847145742,37.781150499],[126.846689095,37.78092698],[126.846407775,37.780927045],[126.846071589,37.781033566],[126.844464733,37.782070376],[126.844578446,37.78213089],[126.844658338,37.782170885],[126.844968158,37.782310746],[126.845132895,37.782376405],[126.845146966,37.782382517],[126.845448467,37.782524677],[126.845455339,37.78252805],[126.84564193,37.782623317],[126.845651629,37.782628555],[126.845726223,37.782671119],[126.845948621,37.78277127],[126.845984802,37.782787564],[126.846382855,37.782869715],[126.846447957,37.782892263],[126.84646324,37.782903022],[126.847139488,37.782010893],[126.847546587,37.781518195],[126.848765803,37.781111135],[126.8479959,37.780887941]]]}",두발 미용업/한식 일반 음식점업/커피 전문점/한식 육류 요리 전문점/한식 해산물 요리 전문점/기타 주점업/체인화 편의점/치킨 전문점/기타 외국식 음식점업/의약품 및 의료용품 소매업/일반의원,"74",37.780365565299,126.847959841408,발달상권,"41480",파주시,126.84805,37.780506,"201509",0.010981474,0.007291699,0.004730481,0.003696533,0.004129034,0.007264667,0.010663856,0.025551355,0.043243354,0.062455865,0.073734683,0.075586329,0.073403549,0.081742712,0.077005473,0.080053254,0.081607555,0.085675769,0.085135142,0.068733889,0.054407289,0.045635626,0.028173393,0.019340909
